 tach0, tach1, tach2, tach3, tach4, tach5, tach6, tach7, tach8, tach9, tach10, tach11, tach12, tach13, tach14, tach15, tach16, tach17, tach18, tach19, tach20, tach21, tach22, tach23, tach24, tach25, tach26, tach27, tach28, tach29, tach30, tach31, tach32, tach33, tach34, tach35, tach36, tach37, tach38, tach39, tach40, tach41, tach42, tach43, tach44, tach45, tach46, tach47, tach48, tach49, tach50, tach51, tach52, tach53, tach54, tach55, tach56, tach57, tach58, tach59, tach60, tach61, tach62, tach63, tach64, tach65, tach66, tach67, tach68, tach69, tach70, tach71, tach72, tach73, tach74, tach75, tach76, tach77, tach78, tach79, tach80, tach81, tach82, tach83, tach84, tach85
255,255,255,255,255,254,231,236,193,207,207,236,217,217,226,231,198,174,160,141,122,118,103,89,61,47,33,37,47,28,23,9,0,9,4,9,9,9,14,14,14,23,23,47,56,47,42,56,66,75,84,84,66,47,18,18,37,51,37,42,18,14,14,28,51,66,66,51,51,51,47,42,47,42,56,61,56,66,70,66,70,56,61,61,75,80
249,255,243,243,216,216,227,243,254,243,199,188,204,188,188,188,188,216,210,188,132,94,60,22,11,5,5,11,22,38,33,16,0,5,5,5,11,22,44,49,33,49,55,60,66,66,55,44,49,55,66,88,99,77,77,49,72,77,83,83,49,38,27,44,66,60,66,49,33,44,38,38,55,60,72,77,66,72,77,60,66,55,55,55,49,49
255,255,255,255,255,254,245,254,240,235,210,186,191,210,240,235,220,220,200,196,166,137,88,49,44,34,29,24,29,44,29,4,0,9,24,34,29,24,29,19,14,14,29,44,49,44,24,19,24,34,49,58,58,44,63,78,88,112,112,122,102,88,44,49,68,58,68,49,39,49,29,39,49,49,63,68,58,58,63,63,63,68,93,112,112,122
255,240,254,255,255,254,236,226,240,254,254,236,226,199,152,162,166,180,189,175,157,129,129,106,92,69,60,60,50,50,69,55,23,9,0,4,9,9,9,23,18,27,27,32,41,50,50,41,37,37,50,69,83,83,78,55,64,83,83,74,97,74,78,78,83,101,106,87,83,87,74,60,55,55,60,60,55,64,64,60,64,64,69,78,83,101
226,240,240,235,235,202,221,235,226,211,240,254,250,226,216,216,187,187,173,144,153,144,110,91,72,62,52,43,48,62,67,52,19,9,0,4,14,19,38,67,52,52,38,57,62,62,57,43,52,76,72,86,91,76,67,72,76,76,81,91,86,67,57,72,86,115,115,91,91,72,57,48,43,48,57,67,57,52,48,38,38,43,52,62,81,91
207,212,207,201,201,217,228,212,217,217,191,212,238,254,244,185,185,169,164,159,159,122,95,58,53,58,58,53,53,58,42,15,0,15,21,21,15,21,26,21,31,47,58,100,111,111,111,79,79,90,90,100,122,100,127,111,116,106,90,84,58,53,58,79,106,111,122,106,69,58,53,58,53,58,69,69,74,63,58,58,53,69,84,90,95,95
254,242,255,255,204,186,198,223,229,242,235,242,254,217,223,217,217,229,229,223,198,186,124,105,105,55,68,55,55,55,31,6,0,18,18,18,0,18,31,24,49,80,93,99,93,74,62,68,80,80,99,93,86,105,111,130,136,111,130,124,86,74,99,105,124,86,68,55,37,37,43,55,62,68,55,62,55,55,55,43,43,43,43,55,55,74
255,255,255,234,241,234,234,248,254,254,248,248,254,248,248,254,248,241,234,227,192,151,130,124,68,34,55,68,62,34,0,6,34,41,34,34,62,68,62,55,89,117,117,110,89,55,75,89,103,117,117,110,117,117,124,130,130,130,124,89,55,62,103,124,110,68,48,41,41,48,62,68,82,89,68,62,82,75,62,62,82,89,82,96,103,110
211,211,217,223,217,235,235,229,235,229,211,211,242,248,242,254,242,229,229,198,142,99,37,37,62,80,80,68,37,18,0,6,31,43,37,37,43,43,55,68,86,111,124,130,136,136,105,105,124,136,155,142,142,142,136,142,136,124,124,105,74,55,80,117,130,130,124,93,80,99,99,99,117,136,136,124,124,117,105,105,105,111,117,105,105,105
221,221,221,216,193,193,216,232,243,254,249,249,238,238,227,221,216,210,193,182,166,127,116,105,83,49,38,60,66,44,16,0,11,33,38,33,49,72,72,66,72,105,121,110,99,77,77,88,88,99,116,99,99,110,105,116,110,116,121,116,88,72,88,110,127,127,99,77,88,77,77,66,72,94,94,83,83,88,72,60,66,83,94,105,105,105
